BN	TN	SubNum	group	hand	isTrain	seq	ChunkSize	digitChangePos	digitChangeValue	press1	press2	press3	press4	press5	press6	press7	press8	press9	press10	press11	RT	ET	norm_MT	isError	timingError	points	response1	response2	response3	response4	response5	response6	response7	response8	response9	response10	response11	handPressed1	handPressed2	handPressed3	handPressed4	handPressed5	handPressed6	handPressed7	handPressed8	handPressed9	handPressed10	handPressed11	pressTime1	pressTime2	pressTime3	pressTime4	pressTime5	pressTime6	pressTime7	pressTime8	pressTime9	pressTime10	pressTime11	timeThreshold	timeThresholdSuper	startTime	startTimeReal	trialDur	startTR	startTRtime	useMetronome	isCross	
10	8	5	0	2	0	35421252143	2333	7	4	3	5	4	2	1	2	5	4	1	4	3	1375.000	4630.000	6005.000	0	0	1	3	5	4	2	1	2	5	4	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1380.000	1460.000	1990.000	2775.000	3140.000	3715.000	4030.000	4670.000	5155.000	5660.000	5895.000	3500.000	2940.000	-842150451	-1	9225	-1	-1	1	0	
10	9	5	0	2	0	14325242135	3332	7	2	1	4	3	2	5	2	4	2	1	3	5	750.000	2955.000	3705.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	755.000	890.000	1020.000	1390.000	1675.000	1880.000	2645.000	2720.000	2885.000	3365.000	3455.000	3500.000	2940.000	-842150451	-1	6925	-1	-1	1	0	
10	10	5	0	2	0	35421252143	2333	7	2	3	5	4	2	1	2	5	2	1	4	3	1110.000	4265.000	5375.000	0	0	1	3	5	4	2	1	2	5	2	1	4	3	2	2	2	2	2	2	2	2	2	2	2	1115.000	1255.000	1925.000	2290.000	2460.000	2960.000	3085.000	4085.000	4830.000	5050.000	5215.000	3500.000	2940.000	-842150451	-1	8595	-1	-1	1	0	
10	11	5	0	2	0	24352151421	2333	7	2	2	4	3	5	2	1	5	2	4	2	1	655.000	4345.000	5000.000	1	0	-1	2	4	3	5	1	1	5	2	4	2	1	2	2	2	2	2	2	2	2	2	2	2	660.000	960.000	1680.000	2150.000	2390.000	3075.000	3540.000	3945.000	4385.000	4695.000	4820.000	3500.000	2940.000	-842150451	-1	8220	-1	-1	1	0	
10	12	5	0	2	0	24315452512	2333	5	2	2	4	3	1	5	2	5	2	5	1	2	920.000	4285.000	5205.000	1	0	-1	2	4	3	1	5	2	5	2	5	1	3	2	2	2	2	2	2	2	2	2	2	2	925.000	1715.000	2205.000	2635.000	3025.000	3450.000	3750.000	4100.000	4325.000	4700.000	5070.000	3500.000	2940.000	-842150451	-1	8425	-1	-1	1	0	
10	13	5	0	2	0	13524232514	2333	5	1	1	3	5	2	4	1	3	2	5	1	4	765.000	6710.000	7475.000	1	0	-1	1	2	3	2	4	1	4	2	5	1	4	2	2	2	2	2	2	2	2	2	2	2	770.000	865.000	985.000	3605.000	3925.000	4170.000	4680.000	5710.000	6090.000	6410.000	7350.000	3500.000	2940.000	-842150451	-1	10695	-1	-1	1	0	
10	14	5	0	2	0	51423252413	3332	7	1	5	1	4	2	3	2	5	1	4	1	3	635.000	3460.000	4095.000	0	0	1	5	1	4	2	3	2	5	1	4	1	3	2	2	2	2	2	2	2	2	2	2	2	640.000	855.000	1365.000	1770.000	2000.000	2115.000	2540.000	3025.000	3325.000	3750.000	3945.000	3500.000	2940.000	-842150451	-1	7315	-1	-1	1	0	
10	15	5	0	2	0	51423252413	3332	5	2	5	1	4	2	3	2	5	2	4	1	3	620.000	3385.000	4005.000	0	0	1	5	1	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	625.000	805.000	1430.000	1830.000	2030.000	2185.000	2750.000	3205.000	3455.000	3720.000	3815.000	3500.000	2940.000	-842150451	-1	7225	-1	-1	1	0	
10	16	5	0	2	0	31512331543	2333	5	1	3	1	5	1	2	1	3	1	5	4	3	1100.000	5500.000	6600.000	1	0	-1	3	1	2	5	2	1	3	1	5	4	3	2	2	2	2	2	2	2	2	2	2	2	1105.000	1245.000	1280.000	1465.000	3790.000	4495.000	4755.000	5420.000	5795.000	6230.000	6460.000	3500.000	2940.000	-842150451	-1	9820	-1	-1	1	0	
10	17	5	0	2	0	35241315124	3332	7	4	3	5	2	4	1	3	1	4	1	2	4	1080.000	4750.000	5830.000	0	0	1	3	5	2	4	1	3	1	4	1	2	4	2	2	2	2	2	2	2	2	2	2	2	1085.000	1275.000	1540.000	2155.000	2390.000	2920.000	3140.000	4035.000	4955.000	5335.000	5650.000	3500.000	2940.000	-842150451	-1	9050	-1	-1	1	0	
10	18	5	0	2	0	13524232514	2333	5	2	1	3	5	2	4	2	3	2	5	1	4	695.000	3200.000	3895.000	1	0	-1	1	3	5	2	4	2	3	2	5	1	3	2	2	2	2	2	2	2	2	2	2	2	700.000	750.000	930.000	1300.000	1865.000	2040.000	2505.000	2650.000	2970.000	3420.000	3720.000	3500.000	2940.000	-842150451	-1	7115	-1	-1	1	0	
10	19	5	0	2	0	14325242135	3332	5	2	1	4	3	2	5	2	4	2	1	3	5	765.000	2900.000	3665.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	770.000	955.000	1060.000	1555.000	1730.000	1925.000	2400.000	2730.000	2910.000	3340.000	3455.000	3500.000	2940.000	-842150451	-1	6885	-1	-1	1	0	
10	20	5	0	2	0	41352425413	2333	5	4	4	1	3	5	2	4	2	5	4	1	3	865.000	4740.000	5605.000	1	0	-1	4	2	3	5	2	4	2	5	4	1	3	2	2	2	2	2	2	2	2	2	2	2	870.000	1025.000	2125.000	2510.000	2805.000	3090.000	3925.000	4275.000	4625.000	5325.000	5405.000	3500.000	2940.000	-842150451	-1	8825	-1	-1	1	0	
10	21	5	0	2	0	14325242135	3332	9	3	1	4	3	2	5	2	4	2	1	3	5	695.000	3135.000	3830.000	0	0	1	1	4	3	2	5	2	4	2	1	3	5	2	2	2	2	2	2	2	2	2	2	2	700.000	850.000	985.000	1855.000	2035.000	2175.000	2895.000	2975.000	3170.000	3540.000	3625.000	3500.000	2940.000	-842150451	-1	7050	-1	-1	1	0	
10	22	5	0	2	0	51423252413	3332	9	1	5	1	4	2	3	2	5	2	4	1	3	665.000	3990.000	4655.000	1	0	-1	5	2	4	2	3	2	5	2	4	1	3	2	2	2	2	2	2	2	2	2	2	2	670.000	775.000	2025.000	2670.000	2910.000	3025.000	3500.000	3755.000	3990.000	4375.000	4490.000	3500.000	2940.000	-842150451	-1	7875	-1	-1	1	0	
10	23	5	0	2	0	45424215131	3332	9	4	4	5	4	2	4	2	1	5	1	4	1	1055.000	4505.000	5560.000	0	0	1	4	5	4	2	4	2	1	5	1	4	1	2	2	2	2	2	2	2	2	2	2	2	1060.000	1170.000	1660.000	2280.000	2585.000	2895.000	3385.000	3715.000	4090.000	5180.000	5380.000	3500.000	2940.000	-842150451	-1	8780	-1	-1	1	0	
10	24	5	0	2	0	13213533213	3332	7	4	1	3	2	1	3	5	3	4	2	1	3	785.000	4595.000	5380.000	1	0	-1	1	3	2	1	3	5	3	4	2	1	4	2	2	2	2	2	2	2	2	2	2	2	790.000	950.000	1075.000	1575.000	1630.000	1875.000	3185.000	3260.000	4745.000	4815.000	5235.000	3500.000	2940.000	-842150451	-1	8600	-1	-1	1	0	
