BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,press1,press2,press3,press4,press5,press6,press7,press8,press9,press10,press11,RT,ET,norm_MT,isError,timingError,points,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,handPressed1,handPressed2,handPressed3,handPressed4,handPressed5,handPressed6,handPressed7,handPressed8,handPressed9,handPressed10,handPressed11,pressTime1,pressTime2,pressTime3,pressTime4,pressTime5,pressTime6,pressTime7,pressTime8,pressTime9,pressTime10,pressTime11,timeThreshold,timeThresholdSuper,startTime,startTimeReal,trialDur,startTR,startTRtime,useMetronome,isCross,timeThreshold.1,timeThresholdSuper.1,IPI1,IPI2,IPI3,IPI4,IPI5,IPI6,IPI7,IPI8,IPI9,IPI10
10,19,1,0,2,0,13524232514,2333,9,1,1,3,5,2,4,2,3,2,5,1,4,840.0,3380.0,4220.0,0,0,1,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,845.0,880.0,1000.0,1635.0,1730.0,1850.0,2575.0,2665.0,3175.0,3965.0,4055.0,-842150451.0,-1.0,7440,-1,-1,1,0,3500.0,2940.0,,,35.0,120.0,635.0,95.0,120.0,725.0,90.0,510.0,790.0,90.0
10,20,1,0,2,0,35421252143,2333,7,2,3,5,4,2,1,2,5,2,1,4,3,1415.0,3885.0,5300.0,0,0,1,3,5,4,2,1,2,5,2,1,4,3,2,2,2,2,2,2,2,2,2,2,2,1420.0,1830.0,2125.0,2795.0,2915.0,3040.0,4070.0,4190.0,4315.0,5090.0,5115.0,-842150451.0,-1.0,8520,-1,-1,1,0,3500.0,2940.0,,,410.0,295.0,670.0,120.0,125.0,1030.0,120.0,125.0,775.0,25.0
10,21,1,0,2,0,13524232514,2333,7,2,1,3,5,2,4,2,3,2,5,1,4,765.0,3155.0,3920.0,0,0,1,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,770.0,845.0,1000.0,1485.0,1670.0,1760.0,2600.0,2690.0,2840.0,3625.0,3670.0,-842150451.0,-1.0,7140,-1,-1,1,0,3500.0,2940.0,,,75.0,155.0,485.0,185.0,90.0,840.0,90.0,150.0,785.0,45.0
10,22,1,0,2,0,51423252413,3332,9,5,5,1,4,2,3,2,5,2,4,5,3,810.0,3585.0,4395.0,0,0,1,5,1,4,2,3,2,5,2,4,5,3,2,2,2,2,2,2,2,2,2,2,2,815.0,990.0,1135.0,1700.0,1805.0,1905.0,2585.0,2705.0,2820.0,3920.0,4270.0,-842150451.0,-1.0,7615,-1,-1,1,0,3500.0,2940.0,,,175.0,145.0,565.0,105.0,100.0,680.0,120.0,115.0,1100.0,350.0
10,23,1,0,2,0,51423252413,3332,7,2,5,1,4,2,3,2,5,2,4,1,3,845.0,2330.0,3175.0,0,0,1,5,1,4,2,3,2,5,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,850.0,990.0,1075.0,1535.0,1605.0,1715.0,2175.0,2295.0,2415.0,3030.0,3075.0,-842150451.0,-1.0,6395,-1,-1,1,0,3500.0,2940.0,,,140.0,85.0,460.0,70.0,110.0,460.0,120.0,120.0,615.0,45.0
10,24,1,0,2,0,15434214312,2333,9,4,1,5,4,3,4,2,1,4,3,4,2,1165.0,4600.0,5765.0,0,0,1,1,5,4,3,4,2,1,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,1170.0,1280.0,1685.0,2490.0,2890.0,3160.0,4040.0,4490.0,4630.0,5395.0,5625.0,-842150451.0,-1.0,8985,-1,-1,1,0,3500.0,2940.0,,,110.0,405.0,805.0,400.0,270.0,880.0,450.0,140.0,765.0,230.0
1,1,2,1,2,1,51423252413,2333,7,3,5,1,4,2,3,2,5,2,4,1,3,620.0,2940.0,3560.0,0,0,1,5,1,4,2,3,2,5,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,625.0,775.0,1165.0,1380.0,1470.0,1930.0,2050.0,2290.0,3095.0,3290.0,3395.0,3500.0,2940.0,-842150451,-1,6780,-1,-1,1.0,0.0,,,150.0,390.0,215.0,90.0,460.0,120.0,240.0,805.0,195.0,105.0
1,2,2,1,2,1,51423252413,2333,7,2,5,1,4,2,3,2,5,2,4,1,3,390.0,2375.0,2765.0,0,0,3,5,1,4,2,3,2,5,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,395.0,560.0,955.0,1110.0,1220.0,1680.0,1780.0,1970.0,2445.0,2570.0,2700.0,3500.0,2940.0,-842150451,-1,5985,-1,-1,1.0,0.0,,,165.0,395.0,155.0,110.0,460.0,100.0,190.0,475.0,125.0,130.0
1,3,2,1,2,1,14325242135,2333,7,3,1,4,3,2,5,2,4,2,1,3,5,430.0,2360.0,2790.0,0,0,3,1,4,3,2,5,2,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,435.0,555.0,950.0,1075.0,1155.0,1610.0,1750.0,1890.0,2415.0,2500.0,2590.0,3500.0,2940.0,-842150451,-1,6010,-1,-1,1.0,0.0,,,120.0,395.0,125.0,80.0,455.0,140.0,140.0,525.0,85.0,90.0
1,4,2,1,2,1,51423252413,2333,7,2,5,1,4,2,3,2,5,2,4,1,3,390.0,3280.0,3670.0,1,0,0,5,1,4,3,3,2,5,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,395.0,500.0,885.0,1085.0,1705.0,2225.0,2315.0,2545.0,3245.0,3440.0,3525.0,3500.0,2940.0,-842150451,-1,6890,-1,-1,1.0,0.0,,,105.0,385.0,200.0,620.0,520.0,90.0,230.0,700.0,195.0,85.0
1,5,2,1,2,1,51423252413,2333,5,1,5,1,4,2,3,2,5,2,4,1,3,400.0,2360.0,2760.0,0,0,3,5,1,4,2,3,2,5,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,405.0,560.0,950.0,1140.0,1280.0,1670.0,1825.0,2025.0,2395.0,2550.0,2630.0,3500.0,2940.0,-842150451,-1,5980,-1,-1,1.0,0.0,,,155.0,390.0,190.0,140.0,390.0,155.0,200.0,370.0,155.0,80.0
1,6,2,1,2,1,13524232514,3332,5,5,1,3,5,2,4,2,3,2,5,1,4,420.0,2320.0,2740.0,0,0,3,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,425.0,585.0,675.0,1105.0,1275.0,1525.0,1930.0,2100.0,2165.0,2515.0,2600.0,3500.0,2940.0,-842150451,-1,5960,-1,-1,1.0,0.0,,,160.0,90.0,430.0,170.0,250.0,405.0,170.0,65.0,350.0,85.0
