BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,isTrialError,timingError,IPI_Number,IPI_Value,N,Press_Number,Press_Value,Response_Number,Response_Value,isPressError
9,4,3,0,2,0,51423252413,3332,9,1,0,0,IPI3,370.0,4,press4,2,response4,2,False
9,5,3,0,2,0,31314514453,3332,7,2,0,0,IPI3,310.0,4,press4,1,response4,1,False
9,6,3,0,2,0,13524232514,2333,7,1,0,0,IPI3,450.0,4,press4,2,response4,2,False
9,7,3,0,2,0,35421252143,2333,7,2,0,0,IPI3,475.0,4,press4,2,response4,2,False
9,8,3,0,2,0,45241424414,2333,7,5,0,0,IPI3,295.0,4,press4,4,response4,4,False
9,9,3,0,2,0,14325242135,3332,7,2,0,0,IPI3,510.0,4,press4,2,response4,2,False
9,10,3,0,2,0,12423122535,2333,7,1,0,0,IPI3,235.0,4,press4,2,response4,2,False
9,11,3,0,2,0,51423252413,3332,9,1,0,0,IPI3,340.0,4,press4,2,response4,2,False
9,12,3,0,2,0,14325242135,3332,9,3,0,0,IPI3,280.0,4,press4,2,response4,2,False
9,13,3,0,2,0,35421252143,2333,7,2,1,0,IPI3,285.0,4,press4,2,response4,2,False
9,14,3,0,2,0,13524232514,2333,5,2,0,0,IPI3,425.0,4,press4,2,response4,2,False
9,15,3,0,2,0,21252421535,2333,7,1,0,0,IPI3,500.0,4,press4,5,response4,5,False
9,16,3,0,2,0,13524232514,2333,7,2,0,0,IPI3,430.0,4,press4,2,response4,2,False
9,17,3,0,2,0,13524232514,2333,5,2,0,0,IPI3,330.0,4,press4,2,response4,2,False
9,18,3,0,2,0,35421252143,2333,9,5,0,0,IPI3,335.0,4,press4,2,response4,2,False
9,19,3,0,2,0,14325242135,3332,9,2,0,0,IPI3,360.0,4,press4,2,response4,2,False
9,20,3,0,2,0,14325242135,3332,7,3,0,0,IPI3,325.0,4,press4,2,response4,2,False
9,21,3,0,2,0,51423252413,3332,7,2,0,0,IPI3,415.0,4,press4,2,response4,2,False
9,22,3,0,2,0,51423252413,3332,7,1,0,0,IPI3,310.0,4,press4,2,response4,2,False
9,23,3,0,2,0,23451434141,3332,9,4,0,0,IPI3,350.0,4,press4,5,response4,5,False
9,24,3,0,2,0,23231325152,3332,7,3,0,0,IPI3,330.0,4,press4,3,response4,3,False
10,1,3,0,2,0,13524232514,2333,7,2,0,0,IPI3,290.0,4,press4,2,response4,2,False
10,2,3,0,2,0,14325242135,3332,9,4,0,0,IPI3,280.0,4,press4,2,response4,2,False
10,3,3,0,2,0,13524232514,2333,9,1,0,0,IPI3,430.0,4,press4,2,response4,2,False
10,4,3,0,2,0,41452423315,2333,7,5,0,0,IPI3,725.0,4,press4,5,response4,5,False
10,5,3,0,2,0,35421252143,2333,9,4,0,0,IPI3,255.0,4,press4,2,response4,2,False
10,6,3,0,2,0,34253215254,3332,9,1,0,0,IPI3,235.0,4,press4,5,response4,5,False
10,7,3,0,2,0,35421252143,2333,5,2,0,0,IPI3,310.0,4,press4,2,response4,2,False
10,8,3,0,2,0,51423252413,3332,7,2,0,0,IPI3,425.0,4,press4,2,response4,2,False
10,9,3,0,2,0,14325242135,3332,9,3,0,0,IPI3,295.0,4,press4,2,response4,2,False
10,10,3,0,2,0,51423252413,3332,9,1,0,0,IPI3,350.0,4,press4,2,response4,2,False
10,11,3,0,2,0,43524334232,2333,5,2,0,0,IPI3,285.0,4,press4,2,response4,2,False
10,12,3,0,2,0,51423252413,3332,5,2,0,0,IPI3,290.0,4,press4,2,response4,2,False
10,13,3,0,2,0,13524232514,2333,7,4,0,0,IPI3,330.0,4,press4,2,response4,2,False
10,14,3,0,2,0,14514543445,2333,9,2,0,0,IPI3,325.0,4,press4,1,response4,1,False
10,15,3,0,2,0,25354315323,3332,5,5,1,0,IPI3,345.0,4,press4,5,response4,5,False
10,16,3,0,2,0,51423252413,3332,5,1,0,0,IPI3,410.0,4,press4,2,response4,2,False
10,17,3,0,2,0,13524232514,2333,5,1,0,0,IPI3,295.0,4,press4,2,response4,2,False
10,18,3,0,2,0,14325242135,3332,9,3,0,0,IPI3,450.0,4,press4,2,response4,2,False
10,19,3,0,2,0,24545254311,3332,9,2,1,0,IPI3,925.0,4,press4,4,response4,4,False
10,20,3,0,2,0,24543515212,3332,9,4,0,0,IPI3,575.0,4,press4,4,response4,4,False
10,21,3,0,2,0,14325242135,3332,9,2,0,0,IPI3,400.0,4,press4,2,response4,2,False
10,22,3,0,2,0,35421252143,2333,7,3,0,0,IPI3,335.0,4,press4,2,response4,2,False
10,23,3,0,2,0,25154132512,2333,7,2,0,0,IPI3,265.0,4,press4,5,response4,5,False
10,24,3,0,2,0,35421252143,2333,7,3,0,0,IPI3,320.0,4,press4,2,response4,2,False
1,1,4,1,2,1,14325242135,2333,7,5,1,0,IPI3,90.0,4,press4,2,response4,2,False
1,2,4,1,2,1,41325242351,3332,5,2,1,0,IPI3,420.0,4,press4,2,response4,2,False
1,3,4,1,2,1,41325242351,3332,9,5,0,0,IPI3,425.0,4,press4,2,response4,2,False
1,4,4,1,2,1,14325242135,2333,9,4,0,0,IPI3,85.0,4,press4,2,response4,2,False
1,5,4,1,2,1,41325242351,3332,5,2,0,0,IPI3,460.0,4,press4,2,response4,2,False
1,6,4,1,2,1,13524232514,3332,5,1,0,0,IPI3,805.0,4,press4,2,response4,2,False
1,7,4,1,2,1,14325242135,2333,5,1,0,0,IPI3,100.0,4,press4,2,response4,2,False
1,8,4,1,2,1,41325242351,3332,9,5,0,0,IPI3,420.0,4,press4,2,response4,2,False
1,9,4,1,2,1,14325242135,2333,9,4,0,0,IPI3,95.0,4,press4,2,response4,2,False
1,10,4,1,2,1,41325242351,3332,9,5,1,0,IPI3,300.0,4,press4,2,response4,2,False
1,11,4,1,2,1,51423252413,2333,9,1,0,0,IPI3,60.0,4,press4,2,response4,2,False
1,12,4,1,2,1,14325242135,2333,9,2,0,0,IPI3,95.0,4,press4,2,response4,2,False
1,13,4,1,2,1,51423252413,2333,9,1,1,0,IPI3,65.0,4,press4,2,response4,2,False
1,14,4,1,2,1,51423252413,2333,9,2,0,0,IPI3,65.0,4,press4,2,response4,2,False
1,15,4,1,2,1,13524232514,3332,5,2,0,0,IPI3,475.0,4,press4,2,response4,2,False
1,16,4,1,2,1,13524232514,3332,5,1,0,0,IPI3,380.0,4,press4,2,response4,2,False
1,17,4,1,2,1,51423252413,2333,7,1,0,0,IPI3,65.0,4,press4,2,response4,2,False
1,18,4,1,2,1,51423252413,2333,9,1,1,0,IPI3,1000.0,4,press4,2,response4,2,False
1,19,4,1,2,1,13524232514,3332,7,2,0,0,IPI3,380.0,4,press4,2,response4,2,False
1,20,4,1,2,1,13524232514,3332,7,4,0,0,IPI3,330.0,4,press4,2,response4,2,False
2,1,4,1,2,1,13524232514,3332,9,2,0,0,IPI3,365.0,4,press4,2,response4,2,False
2,2,4,1,2,1,41325242351,3332,7,2,1,0,IPI3,370.0,4,press4,2,response4,2,False
2,3,4,1,2,1,51423252413,2333,7,3,0,0,IPI3,65.0,4,press4,2,response4,2,False
2,4,4,1,2,1,14325242135,2333,9,2,0,0,IPI3,70.0,4,press4,2,response4,2,False
2,5,4,1,2,1,14325242135,2333,9,4,0,0,IPI3,80.0,4,press4,2,response4,2,False
2,6,4,1,2,1,51423252413,2333,5,2,0,0,IPI3,55.0,4,press4,2,response4,2,False
2,7,4,1,2,1,51423252413,2333,5,4,1,0,IPI3,130.0,4,press4,2,response4,3,True
2,8,4,1,2,1,41325242351,3332,5,1,0,0,IPI3,350.0,4,press4,2,response4,2,False
2,9,4,1,2,1,14325242135,2333,9,3,0,0,IPI3,75.0,4,press4,2,response4,2,False
2,10,4,1,2,1,41325242351,3332,7,2,0,0,IPI3,385.0,4,press4,2,response4,2,False
2,11,4,1,2,1,13524232514,3332,5,5,0,0,IPI3,305.0,4,press4,2,response4,2,False
2,12,4,1,2,1,13524232514,3332,9,2,0,0,IPI3,315.0,4,press4,2,response4,2,False
2,13,4,1,2,1,13524232514,3332,5,1,0,0,IPI3,285.0,4,press4,2,response4,2,False
2,14,4,1,2,1,14325242135,2333,5,2,1,0,IPI3,95.0,4,press4,2,response4,2,False
2,15,4,1,2,1,51423252413,2333,7,3,0,0,IPI3,55.0,4,press4,2,response4,2,False
2,16,4,1,2,1,13524232514,3332,5,5,0,0,IPI3,245.0,4,press4,2,response4,2,False
2,17,4,1,2,1,41325242351,3332,5,1,1,0,IPI3,440.0,4,press4,2,response4,2,False
2,18,4,1,2,1,51423252413,2333,5,1,1,0,IPI3,120.0,4,press4,2,response4,3,True
